,date,close,code,ind_code
97,2023-05-31,1872.0,UR,2
98,2023-06-01,1898.0,UR,2
99,2023-06-02,1919.0,UR,2
100,2023-06-05,1900.0,UR,2
101,2023-06-06,1890.0,UR,2
102,2023-06-07,1848.0,UR,2
103,2023-06-08,1858.0,UR,2
104,2023-06-09,1887.0,UR,2
105,2023-06-12,1831.0,UR,2
106,2023-06-13,1856.0,UR,2
107,2023-06-14,1863.0,UR,2
108,2023-06-15,1879.0,UR,2
109,2023-06-16,1882.0,UR,2
110,2023-06-19,1885.0,UR,2
111,2023-06-20,1883.0,UR,2
112,2023-06-21,1881.0,UR,2
113,2023-06-26,1960.0,UR,2
114,2023-06-27,1996.0,UR,2
115,2023-06-28,2081.0,UR,2
116,2023-06-29,2135.0,UR,2
117,2023-06-30,2120.0,UR,2
118,2023-07-03,2105.0,UR,2
119,2023-07-04,2095.0,UR,2
120,2023-07-05,,UR,2
0,2023-01-03,13030.0,RU,2
1,2023-01-04,12980.0,RU,2
2,2023-01-05,12890.0,RU,2
3,2023-01-06,12850.0,RU,2
4,2023-01-09,12795.0,RU,2
5,2023-01-10,12815.0,RU,2
6,2023-01-11,12990.0,RU,2
7,2023-01-12,12915.0,RU,2
8,2023-01-13,12950.0,RU,2
9,2023-01-16,12915.0,RU,2
10,2023-01-17,13250.0,RU,2
11,2023-01-18,13415.0,RU,2
12,2023-01-19,13230.0,RU,2
13,2023-01-20,13280.0,RU,2
14,2023-01-30,13290.0,RU,2
15,2023-01-31,13165.0,RU,2
16,2023-02-01,13135.0,RU,2
17,2023-02-02,12710.0,RU,2
18,2023-02-03,12680.0,RU,2
19,2023-02-06,12695.0,RU,2
20,2023-02-07,12655.0,RU,2
21,2023-02-08,12585.0,RU,2
22,2023-02-09,12610.0,RU,2
23,2023-02-10,12490.0,RU,2
24,2023-02-13,12510.0,RU,2
25,2023-02-14,12600.0,RU,2
26,2023-02-15,12560.0,RU,2
27,2023-02-16,12565.0,RU,2
28,2023-02-17,12535.0,RU,2
29,2023-02-20,12580.0,RU,2
30,2023-02-21,12610.0,RU,2
31,2023-02-22,12565.0,RU,2
32,2023-02-23,12625.0,RU,2
33,2023-02-24,12620.0,RU,2
34,2023-02-27,12535.0,RU,2
35,2023-02-28,12500.0,RU,2
36,2023-03-01,12590.0,RU,2
37,2023-03-02,12640.0,RU,2
38,2023-03-03,12620.0,RU,2
39,2023-03-06,12465.0,RU,2
40,2023-03-07,12485.0,RU,2
41,2023-03-08,12320.0,RU,2
42,2023-03-09,12250.0,RU,2
43,2023-03-10,12050.0,RU,2
44,2023-03-13,12065.0,RU,2
45,2023-03-14,12025.0,RU,2
46,2023-03-15,12015.0,RU,2
47,2023-03-16,11670.0,RU,2
48,2023-03-17,11770.0,RU,2
49,2023-03-20,11760.0,RU,2
50,2023-03-21,11815.0,RU,2
51,2023-03-22,11795.0,RU,2
52,2023-03-23,11765.0,RU,2
53,2023-03-24,11790.0,RU,2
54,2023-03-27,11950.0,RU,2
55,2023-03-28,11965.0,RU,2
56,2023-03-29,11945.0,RU,2
57,2023-03-30,11915.0,RU,2
58,2023-03-31,11945.0,RU,2
59,2023-04-03,11880.0,RU,2
60,2023-04-04,11710.0,RU,2
61,2023-04-06,11580.0,RU,2
62,2023-04-07,11540.0,RU,2
63,2023-04-10,11600.0,RU,2
64,2023-04-11,11650.0,RU,2
65,2023-04-12,11655.0,RU,2
66,2023-04-13,11605.0,RU,2
67,2023-04-14,11570.0,RU,2
68,2023-04-17,11840.0,RU,2
69,2023-04-18,11835.0,RU,2
70,2023-04-19,11905.0,RU,2
71,2023-04-20,11960.0,RU,2
72,2023-04-21,11780.0,RU,2
73,2023-04-24,11630.0,RU,2
74,2023-04-25,11905.0,RU,2
75,2023-04-26,11905.0,RU,2
76,2023-04-27,11665.0,RU,2
77,2023-04-28,11670.0,RU,2
78,2023-05-04,11710.0,RU,2
79,2023-05-05,11645.0,RU,2
80,2023-05-08,11975.0,RU,2
81,2023-05-09,11920.0,RU,2
82,2023-05-10,12010.0,RU,2
83,2023-05-11,12035.0,RU,2
84,2023-05-12,11900.0,RU,2
85,2023-05-15,12175.0,RU,2
86,2023-05-16,12075.0,RU,2
87,2023-05-17,12130.0,RU,2
88,2023-05-18,12080.0,RU,2
89,2023-05-19,12095.0,RU,2
90,2023-05-22,12045.0,RU,2
91,2023-05-23,11855.0,RU,2
92,2023-05-24,11695.0,RU,2
93,2023-05-25,11630.0,RU,2
94,2023-05-26,11745.0,RU,2
95,2023-05-29,11780.0,RU,2
96,2023-05-30,11760.0,RU,2
97,2023-05-31,11700.0,RU,2
98,2023-06-01,11705.0,RU,2
99,2023-06-02,11845.0,RU,2
100,2023-06-05,11835.0,RU,2
101,2023-06-06,11705.0,RU,2
102,2023-06-07,11940.0,RU,2
103,2023-06-08,11965.0,RU,2
104,2023-06-09,11925.0,RU,2
105,2023-06-12,11740.0,RU,2
106,2023-06-13,11805.0,RU,2
107,2023-06-14,11940.0,RU,2
108,2023-06-15,12010.0,RU,2
109,2023-06-16,11985.0,RU,2
110,2023-06-19,11940.0,RU,2
111,2023-06-20,11920.0,RU,2
112,2023-06-21,11905.0,RU,2
113,2023-06-26,11720.0,RU,2
114,2023-06-27,11785.0,RU,2
115,2023-06-28,11790.0,RU,2
116,2023-06-29,11745.0,RU,2
117,2023-06-30,11900.0,RU,2
118,2023-07-03,11960.0,RU,2
119,2023-07-04,11910.0,RU,2
120,2023-07-05,,RU,2
0,2023-01-03,2746.0,FU,2
1,2023-01-04,2594.0,FU,2
2,2023-01-05,2545.0,FU,2
3,2023-01-06,2561.0,FU,2
4,2023-01-09,2564.0,FU,2
5,2023-01-10,2562.0,FU,2
6,2023-01-11,2560.0,FU,2
7,2023-01-12,2646.0,FU,2
8,2023-01-13,2659.0,FU,2
9,2023-01-16,2669.0,FU,2
10,2023-01-17,2678.0,FU,2
11,2023-01-18,2819.0,FU,2
12,2023-01-19,2773.0,FU,2
13,2023-01-20,2837.0,FU,2
14,2023-01-30,2774.0,FU,2
15,2023-01-31,2739.0,FU,2
16,2023-02-01,2763.0,FU,2
17,2023-02-02,2628.0,FU,2
18,2023-02-03,2613.0,FU,2
19,2023-02-06,2574.0,FU,2
20,2023-02-07,2651.0,FU,2
21,2023-02-08,2703.0,FU,2
22,2023-02-09,2778.0,FU,2
23,2023-02-10,2784.0,FU,2
24,2023-02-13,2781.0,FU,2
25,2023-02-14,2813.0,FU,2
26,2023-02-15,2827.0,FU,2
27,2023-02-16,2876.0,FU,2
28,2023-02-17,2876.0,FU,2
29,2023-02-20,2863.0,FU,2
30,2023-02-21,2860.0,FU,2
31,2023-02-22,2876.0,FU,2
32,2023-02-23,2876.0,FU,2
33,2023-02-24,2873.0,FU,2
34,2023-02-27,2890.0,FU,2
35,2023-02-28,2885.0,FU,2
36,2023-03-01,2932.0,FU,2
37,2023-03-02,2947.0,FU,2
38,2023-03-03,2987.0,FU,2
39,2023-03-06,3009.0,FU,2
40,2023-03-07,3026.0,FU,2
41,2023-03-08,3008.0,FU,2
42,2023-03-09,2963.0,FU,2
43,2023-03-10,2909.0,FU,2
44,2023-03-13,2941.0,FU,2
45,2023-03-14,2838.0,FU,2
46,2023-03-15,2816.0,FU,2
47,2023-03-16,2659.0,FU,2
48,2023-03-17,2650.0,FU,2
49,2023-03-20,2587.0,FU,2
50,2023-03-21,2614.0,FU,2
51,2023-03-22,2630.0,FU,2
52,2023-03-23,2639.0,FU,2
53,2023-03-24,2662.0,FU,2
54,2023-03-27,2657.0,FU,2
55,2023-03-28,2732.0,FU,2
56,2023-03-29,2767.0,FU,2
57,2023-03-30,2764.0,FU,2
58,2023-03-31,2777.0,FU,2
59,2023-04-03,2952.0,FU,2
60,2023-04-04,3079.0,FU,2
61,2023-04-06,3141.0,FU,2
62,2023-04-07,3212.0,FU,2
63,2023-04-10,3168.0,FU,2
64,2023-04-11,3193.0,FU,2
65,2023-04-12,3241.0,FU,2
66,2023-04-13,3245.0,FU,2
67,2023-04-14,3251.0,FU,2
68,2023-04-17,3235.0,FU,2
69,2023-04-18,3226.0,FU,2
70,2023-04-19,3221.0,FU,2
71,2023-04-20,3139.0,FU,2
72,2023-04-21,3088.0,FU,2
73,2023-04-24,3098.0,FU,2
74,2023-04-25,3215.0,FU,2
75,2023-04-26,3155.0,FU,2
76,2023-04-27,3035.0,FU,2
77,2023-04-28,3048.0,FU,2
78,2023-05-04,2915.0,FU,2
79,2023-05-05,2816.0,FU,2
80,2023-05-08,2974.0,FU,2
81,2023-05-09,3008.0,FU,2
82,2023-05-10,3039.0,FU,2
83,2023-05-11,3040.0,FU,2
84,2023-05-12,2985.0,FU,2
85,2023-05-15,2962.0,FU,2
86,2023-05-16,3018.0,FU,2
87,2023-05-17,3015.0,FU,2
88,2023-05-18,3165.0,FU,2
89,2023-05-19,3178.0,FU,2
90,2023-05-22,3044.0,FU,2
91,2023-05-23,3061.0,FU,2
92,2023-05-24,3103.0,FU,2
93,2023-05-25,3160.0,FU,2
94,2023-05-26,3070.0,FU,2
95,2023-05-29,3132.0,FU,2
96,2023-05-30,3096.0,FU,2
97,2023-05-31,3001.0,FU,2
98,2023-06-01,3055.0,FU,2
99,2023-06-02,3120.0,FU,2
100,2023-06-05,3185.0,FU,2
101,2023-06-06,3145.0,FU,2
102,2023-06-07,3164.0,FU,2
103,2023-06-08,3219.0,FU,2
104,2023-06-09,3200.0,FU,2
105,2023-06-12,3160.0,FU,2
106,2023-06-13,3151.0,FU,2
107,2023-06-14,3233.0,FU,2
108,2023-06-15,3211.0,FU,2
109,2023-06-16,3307.0,FU,2
110,2023-06-19,3281.0,FU,2
111,2023-06-20,3300.0,FU,2
112,2023-06-21,3368.0,FU,2
113,2023-06-26,3348.0,FU,2
114,2023-06-27,3750.0,FU,2
115,2023-06-28,3900.0,FU,2
116,2023-06-29,3896.0,FU,2
117,2023-06-30,,FU,2
0,2023-01-03,6335.0,V,2
1,2023-01-04,6253.0,V,2
2,2023-01-05,6239.0,V,2
3,2023-01-06,6395.0,V,2
4,2023-01-09,6369.0,V,2
5,2023-01-10,6381.0,V,2
6,2023-01-11,6417.0,V,2
7,2023-01-12,6421.0,V,2
8,2023-01-13,6473.0,V,2
9,2023-01-16,6499.0,V,2
10,2023-01-17,6504.0,V,2
11,2023-01-18,6576.0,V,2
12,2023-01-19,6632.0,V,2
13,2023-01-20,6691.0,V,2
14,2023-01-30,6562.0,V,2
15,2023-01-31,6385.0,V,2
16,2023-02-01,6350.0,V,2
17,2023-02-02,6238.0,V,2
18,2023-02-03,6246.0,V,2
19,2023-02-06,6255.0,V,2
