,underlying_symbol_y,settle_price_m,delisted_date_x,settle_price_sm,delisted_date_y,date,price_div_log,date_minus,factor
DCE.JD,DCE.JD,3750.0,2020-09-25 00:00:00+08:00,2872.0,2020-07-28 00:00:00+08:00,2020-06-15,0.26674718879634174,59.0,1.6276099655370002
DCE.JM,DCE.JM,1175.5,2020-09-14 00:00:00+08:00,1143.0,2021-01-15 00:00:00+08:00,2020-06-15,0.02803720418531352,123.0,0.08206010981067373
DCE.L,DCE.L,6700.0,2020-09-14 00:00:00+08:00,6635.0,2021-01-15 00:00:00+08:00,2020-06-15,0.009748858612749454,123.0,0.028533244720242306
DCE.M,DCE.M,2822.0,2020-09-14 00:00:00+08:00,2893.0,2021-01-15 00:00:00+08:00,2020-06-15,-0.02484817256337573,123.0,-0.07272635872207531
DCE.P,DCE.P,4922.0,2020-09-14 00:00:00+08:00,4852.0,2021-01-15 00:00:00+08:00,2020-06-15,0.014323960887060502,123.0,0.0419237879621283
DCE.PG,DCE.PG,3365.0,2020-11-25 00:00:00+08:00,3382.0,2020-12-28 00:00:00+08:00,2020-06-15,-0.005039287379697447,33.0,-0.05497404414215397
DCE.PP,DCE.PP,7336.0,2020-09-14 00:00:00+08:00,7038.0,2021-01-15 00:00:00+08:00,2020-06-15,0.041469696054770244,123.0,0.12137472016030315
DCE.RR,DCE.RR,3451.0,2020-09-14 00:00:00+08:00,3391.0,2020-08-14 00:00:00+08:00,2020-06-15,0.01753918097236485,31.0,0.2036808112919789
DCE.V,DCE.V,6310.0,2020-09-14 00:00:00+08:00,6090.0,2021-01-15 00:00:00+08:00,2020-06-15,0.03548759483131609,123.0,0.10386613121360808
DCE.Y,DCE.Y,5638.0,2020-09-14 00:00:00+08:00,5708.0,2021-01-15 00:00:00+08:00,2020-06-15,-0.012339306922669222,123.0,-0.03611504465171479
INE.NR,INE.NR,8750.0,2020-09-15 00:00:00+08:00,8670.0,2020-08-17 00:00:00+08:00,2020-06-15,0.00918490957707257,29.0,0.11401956716365949
INE.SC,INE.SC,282.7,2020-07-31 00:00:00+08:00,295.9,2020-08-31 00:00:00+08:00,2020-06-15,-0.04563529470661923,31.0,-0.5299582611091265
SHFE.AG,SHFE.AG,4259.0,2020-12-15 00:00:00+08:00,4248.0,2020-10-15 00:00:00+08:00,2020-06-15,0.0025861070014387808,61.0,0.015262270828163296
SHFE.AL,SHFE.AL,13610.0,2020-07-15 00:00:00+08:00,13360.0,2020-08-17 00:00:00+08:00,2020-06-15,0.018539648554875058,33.0,0.20225071150772791
SHFE.AU,SHFE.AU,393.86,2020-12-15 00:00:00+08:00,393.22,2020-10-15 00:00:00+08:00,2020-06-15,0.0016262645247055445,61.0,0.009597626703180264
SHFE.BU,SHFE.BU,2514.0,2020-12-15 00:00:00+08:00,2464.0,2020-09-15 00:00:00+08:00,2020-06-15,0.020089064496782404,91.0,0.07947322218507324
SHFE.CU,SHFE.CU,46730.0,2020-07-15 00:00:00+08:00,46600.0,2020-08-17 00:00:00+08:00,2020-06-15,0.0027858155807345907,33.0,0.030390715426195536
SHFE.FU,SHFE.FU,1661.0,2020-08-31 00:00:00+08:00,1848.0,2020-12-24 00:00:00+08:00,2020-06-15,-0.10668414258833457,115.0,-0.33396775071130824
SHFE.HC,SHFE.HC,3561.0,2020-10-15 00:00:00+08:00,3433.0,2021-01-15 00:00:00+08:00,2020-06-15,0.03660688982008573,92.0,0.1432443514699007
SHFE.NI,SHFE.NI,101360.0,2020-08-17 00:00:00+08:00,101530.0,2020-09-15 00:00:00+08:00,2020-06-15,-0.0016757853002476817,29.0,-0.02080285200307467
SHFE.PB,SHFE.PB,14135.0,2020-07-15 00:00:00+08:00,14095.0,2020-08-17 00:00:00+08:00,2020-06-15,0.002833866579477712,33.0,0.030914908139756857
SHFE.RB,SHFE.RB,3601.0,2020-10-15 00:00:00+08:00,3443.0,2021-01-15 00:00:00+08:00,2020-06-15,0.044868400310351504,92.0,0.17557200121441893
SHFE.RU,SHFE.RU,10305.0,2020-09-15 00:00:00+08:00,11585.0,2021-01-15 00:00:00+08:00,2020-06-15,-0.11708194354191717,122.0,-0.34548770225483755
