,roll_yield,near_by,deferred,date
IF,-0.0559997956190398,IF1302,IF1303,2013-01-21
ME,-0.05190969206235836,ME305,ME309,2013-01-21
C,-0.05025653789603135,c1305,c1309,2013-01-21
WR,-0.048805892732398395,WR1302,WR1305,2013-01-21
Y,-0.04510335525265394,y1305,y1309,2013-01-21
B,-0.04117585548483398,b1305,b1309,2013-01-21
CU,-0.03911816108868154,CU1304,CU1305,2013-01-21
RB,-0.01869121367878976,RB1305,RB1310,2013-01-21
AU,-0.014306668399610749,AU1306,AU1312,2013-01-21
RU,-0.0046538694615083,RU1305,RU1309,2013-01-21
A,-0.00434737680880597,a1305,a1309,2013-01-21
SR,-0.0038443941187668975,SR305,SR309,2013-01-21
OI,0.013202661836950253,OI309,OI401,2013-01-21
L,0.019672201638477153,l1305,l1309,2013-01-21
CF,0.03798009646837086,CF305,CF309,2013-01-21
TA,0.044782255544410975,TA305,TA309,2013-01-21
RI,0.08831608023582635,RI307,RI309,2013-01-21
M,0.08988089878762327,m1305,m1309,2013-01-21
RM,0.11770877798793276,RM305,RM309,2013-01-21
RS,0.1510569293548457,RS309,RS311,2013-01-21
FU,-0.254797578903816,FU1303,FU1305,2013-01-22
FG,-0.15689849820854654,FG305,FG309,2013-01-22
WH,-0.1419913592249274,WH307,WH309,2013-01-22
P,-0.13759935405677193,p1305,p1309,2013-01-22
WR,-0.13478770864380238,WR1302,WR1305,2013-01-22
WS,-0.12599332082780124,WS301,WS305,2013-01-22
PB,-0.10701970189108712,PB1302,PB1303,2013-01-22
AG,-0.0905368579997159,AG1302,AG1306,2013-01-22
J,-0.08067978976844446,j1305,j1309,2013-01-22
V,-0.07763834396346228,v1305,v1309,2013-01-22
ZN,-0.07339472420923264,ZN1304,ZN1305,2013-01-22
AL,-0.0709594708953514,AL1303,AL1304,2013-01-22
PM,-0.06396124531263914,PM307,PM309,2013-01-22
IF,-0.06070839254874247,IF1302,IF1303,2013-01-22
C,-0.05270819952355193,c1305,c1309,2013-01-22
ME,-0.04896402469231299,ME305,ME309,2013-01-22
CU,-0.04489801156023352,CU1304,CU1305,2013-01-22
B,-0.043768208206091314,b1305,b1309,2013-01-22
Y,-0.03341323323136762,y1305,y1309,2013-01-22
RB,-0.018588475184459188,RB1305,RB1310,2013-01-22
SR,-0.011522647910374592,SR305,SR309,2013-01-22
AU,-0.00981667915694107,AU1306,AU1312,2013-01-22
RU,-0.008032133312149182,RU1305,RU1309,2013-01-22
A,0.006820298483696344,a1305,a1309,2013-01-22
OI,0.014405789986221919,OI309,OI401,2013-01-22
L,0.02239861081501531,l1305,l1309,2013-01-22
CF,0.03714259464149663,CF305,CF309,2013-01-22
TA,0.04079747950524599,TA305,TA309,2013-01-22
M,0.11514130743700265,m1305,m1309,2013-01-22
RM,0.14469207365079148,RM305,RM309,2013-01-22
RS,0.14658071646139814,RS309,RS311,2013-01-22
FU,-0.24542074558296334,FU1303,FU1305,2013-01-23
FG,-0.14820267141161433,FG305,FG309,2013-01-23
WH,-0.13561197853048784,WH307,WH309,2013-01-23
P,-0.13239970935655343,p1305,p1309,2013-01-23
WR,-0.12091600784526862,WR1302,WR1305,2013-01-23
PB,-0.11067272122526936,PB1302,PB1303,2013-01-23
WS,-0.09713933792036698,WS303,WS305,2013-01-23
J,-0.0957444586507196,j1305,j1309,2013-01-23
AG,-0.08787334341467135,AG1302,AG1306,2013-01-23
V,-0.08195415501413983,v1305,v1309,2013-01-23
AL,-0.07892169190639754,AL1303,AL1304,2013-01-23
ZN,-0.07694800332154068,ZN1304,ZN1305,2013-01-23
IF,-0.06405871995466438,IF1302,IF1303,2013-01-23
ER,-0.05998939067593922,ER303,ER305,2013-01-23
ME,-0.05454695724957098,ME305,ME309,2013-01-23
